"SiteID","System_Type","Evidence_of_Duct_Sealing","Duct_Sealing_Material","Duct_Sealing_Material_Other","Cavity_Used_for_Air_Transport","Duct_Location_Supply","Duct_Location_Return","Percentage_of_Supply_Ducts_in_Conditioned_Space","Percentage_of_Return_Ducts_in_Conditioned_Space","Percentage_of_Supply_Ducts_in_Unconditioned_and_Inaccessible_Sp","Percentage_Ducts_In_Good_Condition","Crossover_Present","Crossover_Condition","Flex_Run_Insulation_Type","Insulation_Present","Insulation_Type","Insulation_Thickness","Insulation_Condition","Ductboard_P_Thickness"
"SITE_1111","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement","Crawlspace / Basement, Attic","0","0","0","100","No","Unknown","R4","Yes","Unknown","Unknown","Unknown",NA
"SITE_1114","Metal Plenum, Flex Runs","No",NA,NA,"No","Crawlspace / Basement","Attic","0","0","0","100","No","Unknown","Unknown","Yes","Foil-faced fiberglass","2","90",NA
"SITE_1115","Metal Plenum, Flex Runs","No",NA,NA,"Unknown","Attic, In Walls and Ceilings","In Walls and Ceilings","75","75","25","100","Unknown","Unknown","R6","Yes","Fiberglass batts","Unknown","90",NA
"SITE_1116","All Metal","Unknown",NA,NA,"No","Attic, In Walls and Ceilings","In Walls and Ceilings","75","90","0","Unknown","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1117","All Metal","Yes","Duct or Foil tape",NA,"No","In Walls and Ceilings","In Walls and Ceilings","100","100","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1118","All Metal","No",NA,NA,"No","Crawlspace / Basement","Attic, Garage","100","25","0","100","No","Unknown",NA,"Yes","Fiberglass batts","0.25","25",NA
"SITE_112","All Metal","Yes","Mastic",NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","75","90","0","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1120","All Metal","Yes","Duct or Foil tape",NA,"No","Garage, Crawlspace / Basement","In Walls and Ceilings, Crawlspace / Basement","0","0","0","100","No","Unknown",NA,"Yes","Fiberglass batts","3","100",NA
"SITE_1122","Metal Plenum, Flex Runs","Yes","Unknown",NA,"No","Crawlspace / Basement, In Walls and Ceilings","Crawlspace / Basement, In Walls and Ceilings","75","75","25","90","No","Unknown","Unknown","Yes","Unknown","Unknown","90",NA
"SITE_1123","All Metal","Yes","Mastic",NA,"No","Attic, Crawlspace / Basement","In Walls and Ceilings","25","Unknown","25","Unknown","No","Unknown",NA,"Yes","Foil-faced fiberglass","2","75",NA
"SITE_1125","Metal Plenum, Flex Runs","Yes","Duct or Foil tape",NA,"No","In Walls and Ceilings","Attic","0","0","0","100","No","Unknown","R8","Yes","Foil-faced fiberglass","4","100",NA
"SITE_1127","Metal Plenum, Flex Runs","No",NA,NA,"No","Crawlspace / Basement","Attic, Garage","0","0","0","100","No","Unknown","Unknown","Yes","Unknown","Unknown","Unknown",NA
"SITE_1128","All Metal","Yes","Duct or Foil tape",NA,"Unknown","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings, Crawlspace / Basement","100","100","0","Unknown","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_113","All Metal","No",NA,NA,"No","Crawlspace","Crawlspace","100","100","0","90","No","Unknown",NA,"Yes","Unknown","Unknown","0",NA
"SITE_1130","All Metal","Unknown",NA,NA,"No","Attic","Attic","0","0","0","100","No","Unknown",NA,"Yes","Foil-faced fiberglass","Unknown","100",NA
"SITE_1131","All Metal","Unknown",NA,NA,"No","Attic, In Walls and Ceilings","Attic, In Walls and Ceilings","90","90","10","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
"SITE_1132","All Metal","Yes","Duct or Foil tape",NA,"No","Crawlspace / Basement, In Walls and Ceilings","In Walls and Ceilings","25","Unknown","75","100","No","Unknown",NA,"No","Unknown","Unknown","Unknown",NA
