"SiteID","RoomID","ApplianceID","Make","Make_Other","Model","Vintage","Serial","WiFi_Capable","Motor_Power","Motor_Power_Units","Disposal_Missing_Model_Reason","Disposal_Missing_Model_Reason_Other"
"SITE_1301","ROOM_19095","APPL_9664","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,"NO NAMEPLATE",NA
"SITE_1302","ROOM_45872","APPL_28506","InSinkErator",NA,"PRO COMPACT","Unknown","#07011815437","No","0.75","HP",NA,NA
"SITE_1304","ROOM_10996","APPL_1736","InSinkErator",NA,"SPACE SAVER-P-2","Unknown","#18063021410","No","0.625","HP",NA,NA
"SITE_1304","ROOM_10996","APPL_76063","InSinkErator",NA,"PRESTIGE-1","Unknown","#19123070870","No","1","HP",NA,NA
"SITE_1305","ROOM_13479","APPL_102953","Other","Emerson","E30-5","Unknown","NG54107572","No","0.5","HP",NA,NA
"SITE_1305","ROOM_20978","APPL_41359","Waste King",NA,"SS2600","Unknown","OH4-13742-9","No","0.5","HP",NA,NA
"SITE_1306","ROOM_16140","APPL_127735","Other","Ace Hardware","#1000","Unknown","Unknown","No","0.33","HP",NA,NA
"SITE_1307","ROOM_26884","APPL_120316","InSinkErator",NA,"BADGER 900-1","Unknown","#16061241859","No","0.75","HP",NA,NA
"SITE_131","ROOM_10109","APPL_87590","InSinkErator",NA,"Unknown","Unknown","Unknown","No","0.5","HP","Unknown",NA
"SITE_1313","ROOM_44544","APPL_145643","Waste King",NA,"GXP50C","Unknown","Unknown","No","0.6","HP",NA,NA
"SITE_1315","ROOM_4724","APPL_114996","InSinkErator",NA,"333-76","Unknown","KG 44579750","No","0.5","HP",NA,NA
"SITE_1317","ROOM_27342","APPL_57029","InSinkErator",NA,"BADGER 100-2","Unknown","#21111245829","No","0.5","HP",NA,NA
"SITE_1318","ROOM_36381","APPL_61553","InSinkErator",NA,"333SS","Unknown","Unknown","No","0.5","HP",NA,NA
"SITE_132","ROOM_5441","APPL_162754","Whirlpool",NA,"Unknown","2011","Unknown","No","Unknown",NA,"Unknown",NA
"SITE_1320","ROOM_15246","APPL_113573","InSinkErator",NA,"BADGER","Unknown","Unknown","No","0.5","HP",NA,NA
"SITE_1321","ROOM_44782","APPL_57988","InSinkErator",NA,"BADGER 5","Unknown","Unknown","No","0.5","HP",NA,NA
"SITE_1324","ROOM_20692","APPL_117558","InSinkErator",NA,"BADGER 500-1","Unknown","#15071357583","No","0.5","HP",NA,NA
"SITE_1325","ROOM_18051","APPL_71298","InSinkErator",NA,"SPACE SAVER","Unknown","#07041535223","No","0.525","HP",NA,NA
"SITE_1326","ROOM_24081","APPL_165926","Other","Joneca","258 WASTEMAID","Unknown","Unknown","No","0.5","HP",NA,NA
"SITE_1327","ROOM_15417","APPL_173410","InSinkErator",NA,"PRO 880-1A","Unknown","#14041508163","No","0.875","HP",NA,NA
"SITE_1328","ROOM_30158","APPL_155468","Kenmore",NA,"#60572","Unknown","Unknown","No","0.75","HP",NA,NA
"SITE_133","ROOM_4630","APPL_165277","InSinkErator",NA,"Unknown","Unknown","Unknown","No","0.5","HP","Unknown",NA
"SITE_1331","ROOM_36606","APPL_80511","InSinkErator",NA,"BADGER 100-1","Unknown","#15081419506","No","0.33","HP",NA,NA
"SITE_1334","ROOM_11727","APPL_56120","InSinkErator",NA,"SPACE SAVER-P-1","Unknown","#14011673888","No","0.625","HP",NA,NA
"SITE_1335","ROOM_14094","APPL_111834","InSinkErator",NA,"#1-87A","Unknown","#19101248957","No","1","HP",NA,NA
"SITE_1336","ROOM_14063","APPL_118592","InSinkErator",NA,"#1-83","Unknown","#03122444822","No","0.33","HP",NA,NA
"SITE_1337","ROOM_650","APPL_146316","InSinkErator",NA,"#5-87A","Unknown","#19091251137","No","0.5","HP",NA,NA
"SITE_1338","ROOM_23515","APPL_61474","InSinkErator",NA,"EXCEL","Unknown","#07071548863","No","1","HP",NA,NA
"SITE_1340","ROOM_9704","APPL_57155","InSinkErator",NA,"PRO 750-2A","Unknown","#19083067585","No","0.75","HP",NA,NA
"SITE_1341","ROOM_17477","APPL_149327","InSinkErator",NA,"BADGER 9","Unknown","#09061737238","No","0.75","HP",NA,NA
"SITE_1342","ROOM_18722","APPL_73956","Other","Sinkmaster","Unknown","Unknown","Unknown","No","0.75","HP","NO NAMEPLATE",NA
"SITE_1344","ROOM_1917","APPL_6251","InSinkErator",NA,"PRO 750-3A","Unknown","#20103036119","No","0.75","HP",NA,NA
"SITE_1345","ROOM_24661","APPL_167342","InSinkErator",NA,"BADGER 500-1","Unknown","#16081053969","No","0.5","HP",NA,NA
"SITE_1347","ROOM_37544","APPL_107747","InSinkErator",NA,"#5-81","Unknown","#05091863553","No","0.5","HP",NA,NA
"SITE_1348","ROOM_1930","APPL_38568","Unknown",NA,"MP50-1","Unknown","#05061622536","No","0.5","HP",NA,NA
"SITE_1349","ROOM_20937","APPL_64518","InSinkErator",NA,"BADGER 900-1","Unknown","#13021826509","No","0.75","HP",NA,NA
"SITE_135","ROOM_35153","APPL_2664","Other","Ace Hardware","4000-1","2009","Unknown","No","0.625","HP",NA,NA
"SITE_1350","ROOM_17897","APPL_83586","Waste King",NA,"EX75C","Unknown","2B1-183259-59","No","0.75","HP",NA,NA
"SITE_1351","ROOM_823","APPL_157071","Waste King",NA,"GXP50C","Unknown","Unknown","No","0.5","HP",NA,NA
"SITE_1352","ROOM_1340","APPL_78776","Unknown",NA,"#5-84A","Unknown","#16031170376","No","0.5","HP",NA,NA
"SITE_1353","ROOM_14850","APPL_51792","InSinkErator",NA,"BADGER","Unknown","Unknown","No","0.33","HP",NA,NA
"SITE_1355","ROOM_10937","APPL_10100","InSinkErator",NA,"COMPACT-P-1","Unknown","#13081516992","No","0.75","HP",NA,NA
"SITE_1358","ROOM_44616","APPL_38806","InSinkErator",NA,"BADGER 500-2","Unknown","#19081277623","No","1","HP",NA,NA
"SITE_1359","ROOM_39933","APPL_165653","Waste King",NA,"Unknown","Unknown","Unknown","No","0.75","HP","NO NAMEPLATE",NA
"SITE_136","ROOM_30330","APPL_22071","InSinkErator",NA,"333S-39","Unknown","RA592095","No","0.5","HP",NA,NA
"SITE_1364","ROOM_39353","APPL_172896","Other","Ace Hardware","#1000","Unknown","Unknown","No","0.33","HP",NA,NA
"SITE_1365","ROOM_30248","APPL_122954","InSinkErator",NA,"BADGER 900-1","Unknown","#18081017469","No","0.75","HP",NA,NA
"SITE_1366","ROOM_25682","APPL_168993","Unknown",NA,"Unknown","Unknown","Unknown","No","0.75","HP","Unknown",NA
"SITE_1367","ROOM_19457","APPL_156312","InSinkErator",NA,"COMPACT","Unknown","#07101518840","No","0.75","HP",NA,NA
"SITE_1368","ROOM_35954","APPL_167044","InSinkErator",NA,"BADGER 5-89","Unknown","#21081532926","No","0.5","HP",NA,NA
"SITE_137","ROOM_46106","APPL_15124","InSinkErator",NA,"SEPTIC ASSIST-2","Unknown","#10101513364","No","0.75","HP",NA,NA
"SITE_1370","ROOM_23575","APPL_7301","InSinkErator",NA,"#5-81A","Unknown","#05011982008","No","0.5","HP",NA,NA
"SITE_1373","ROOM_31982","APPL_81405","Other","Ace Hardware","ACE 2000-1","Unknown","#05081762053","No","0.5","HP",NA,NA
"SITE_1374","ROOM_20488","APPL_161471","InSinkErator",NA,"SPACE SAVER-P-2","Unknown","#17033060929","No","0.625","HP",NA,NA
"SITE_1376","ROOM_27739","APPL_110062","InSinkErator",NA,"BADGER 900-2","Unknown","#20101279844","No","0.75","HP",NA,NA
"SITE_1378","ROOM_15714","APPL_75866","InSinkErator",NA,"Unknown","Unknown","Unknown","Unknown","Unknown",NA,"NO NAMEPLATE",NA
"SITE_138","ROOM_18001","APPL_54709","KitchenAid",NA,"KCDS100T1","2009","FNY2408911","No","1","HP",NA,NA
"SITE_1381","ROOM_43980","APPL_48623","InSinkErator",NA,"BADGER 900-1","Unknown","#19081074644","No","0.75","HP",NA,NA
"SITE_1383","ROOM_31843","APPL_43934","InSinkErator",NA,"BADGER 500-2","Unknown","#18051424714","No","0.5","HP",NA,NA
"SITE_1387","ROOM_26224","APPL_68576","InSinkErator",NA,"#5-84A","Unknown","#16011192199","No","0.5","HP",NA,NA
"SITE_1389","ROOM_20682","APPL_143940","InSinkErator",NA,"EVOLUTION SELECT-2","Unknown","#17083011545","No","0.625","HP",NA,NA
"SITE_139","ROOM_27139","APPL_80565","InSinkErator",NA,"BADGER 5XP","Unknown","Unknown","No","0.75","HP",NA,NA
"SITE_1393","ROOM_11953","APPL_1532","InSinkErator",NA,"SELECT-2","Unknown","#18083031988","No","0.63","HP",NA,NA
"SITE_1395","ROOM_46009","APPL_86251","InSinkErator",NA,"PRO-333-1","Unknown","NL 55296098","No","0.5","HP",NA,NA
"SITE_1396","ROOM_9455","APPL_75503","Other","Titan","T-1060","Unknown","Unknown","Unknown","Unknown",NA,NA,NA
"SITE_1396","ROOM_13316","APPL_70240","Unknown",NA,"Unknown","Unknown","Unknown","No","Unknown",NA,"NO NAMEPLATE",NA
"SITE_1399","ROOM_41665","APPL_35120","InSinkErator",NA,"BADGER 500-2","Unknown","#19041026669","No","0.5","HP",NA,NA
"SITE_1403","ROOM_17987","APPL_130984","InSinkErator",NA,"BADGER 5","Unknown","Unknown","No","0.5","HP",NA,NA
