"SiteID","Interior_or_Exterior","Door_Type","Door_Construction","Door_Mechanism","Door_Window_Type","Door_Window_Type_Other","Door_Height_Inches","Door_Width_Inches","Door_Dimensions_Are_Estimated","Door_Area","Door_U_Value","Door_UA"
"SITE_3234","Interior","Wood Solid Core","Single","Hinge","None",NA,"84","36","Measured or Known","3024","0.4","8.4"
"SITE_3235","Interior","Wood Solid Core","Single","Hinge","None",NA,"84","36","Measured or Known","3024","0.4","8.4"
"SITE_3236","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3236","Exterior","Fiberglass","Double","Slider","> 80% window (glass French door)",NA,"80","70","Measured or Known","5600","0.853333333333333","33.1851851851852"
"SITE_3236","Exterior","Fiberglass","Double","Slider","> 80% window (glass French door)",NA,"80","70","Measured or Known","5600","0.853333333333333","33.1851851851852"
"SITE_3237","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3238","Exterior","Metal","Single","Hinge","None",NA,"80","32","Measured or Known","2560","1.22666666666666","21.8074074074073"
"SITE_3238","Interior","Metal","Single","Hinge","None",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_3239","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3240","Exterior","Metal","Single","Hinge","None",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_3241","Exterior","Wood Solid Core","Single","Hinge","None",NA,"81","36","Measured or Known","2916","0.4","8.1"
"SITE_3243","Interior","Wood Solid Core","Single","Hinge","None",NA,"84","36","Measured or Known","3024","0.4","8.4"
"SITE_3244","Exterior","Metal","Single","Hinge","None",NA,"Unknown","80","Measured or Known","Unknown","1.22666666666666","Unknown"
"SITE_3244","Exterior","Metal","Single","Hinge","None",NA,"78","36","Measured or Known","2808","1.22666666666666","23.9199999999999"
"SITE_3245","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3247","Exterior","Metal","Single","Hinge","Decorative window (arch, etc.)",NA,"80","36","Measured or Known","2880","1.22666666666666","24.5333333333332"
"SITE_3247","Interior","Wood Solid Core","Single","Hinge","None",NA,"83","36","Measured or Known","2988","0.4","8.3"
"SITE_3249","Exterior","Metal","Single","Slider","> 80% window (glass French door)",NA,"80","70","Measured or Known","5600","1.22666666666666","47.7037037037034"
"SITE_3251","Interior","Wood Solid Core","Single","Hinge","None",NA,"81","36","Measured or Known","2916","0.4","8.1"
"SITE_3252","Exterior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
"SITE_3253","Interior","Wood Solid Core","Single","Hinge","None",NA,"80","36","Measured or Known","2880","0.4","8"
