"SiteID","Quantity","Type","Skylight_Area_Inches","Skylight_Area_Inches_is_Estimated","Frame_Type","Glazing_Type","Opening_Type","Skylight_Direction","Shape","Shape_Other","Skylight_Height_Inches","Skylight_Width_Inches","Shade_Present","Shade_Reflective","Shade_Insulated","Area","U-Value","Skylight_UA"
"SITE_285","1","Fixed","1008","Measured or Known","Unknown","Double","Unknown","South","Rectangle / Square",NA,"48","21","No",NA,NA,"1008","Unknown","Unknown"
"SITE_285","1","Fixed","1008","Measured or Known","Unknown","Double","Unknown","South","Rectangle / Square",NA,"48","21","No",NA,NA,"1008","Unknown","Unknown"
"SITE_285","1","Fixed","960","Measured or Known","Unknown","Double","Unknown","North","Rectangle / Square",NA,"48","20","No",NA,NA,"960","Unknown","Unknown"
"SITE_286","1","Fixed","Unknown","Unknown","Wood - bare","Double","Unknown","West","Rectangle / Square",NA,"Unknown","42","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_288","1","Open","1008","Measured or Known","Wood - bare","Double","Manual","North","Rectangle / Square",NA,"36","28","Yes","No","No","1008","0.38","2.66"
"SITE_288","1","Open","520","Measured or Known","Aluminum","Double","Manual","South","Rectangle / Square",NA,"26","20","No",NA,NA,"520","0.7","2.53"
"SITE_288","2","Open","1008","Measured or Known","Wood - bare","Double","Manual","North","Rectangle / Square",NA,"36","28","Yes","Yes","No","1008","0.38","5.32"
"SITE_293","2","Fixed","864","Measured or Known","Wood fiberglass clad","Double","Unknown","South","Rectangle / Square",NA,"36","24","No",NA,NA,"864","0.38","4.56"
"SITE_294","1","Fixed","Unknown","Unknown","Vinyl","Double","Unknown","Unknown","Circle",NA,"Unknown","14","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_294","1","Fixed","Unknown","Unknown","Vinyl","Double","Unknown","Unknown","Circle",NA,"Unknown","14","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_297","3","Fixed","896","Measured or Known","Aluminum","Double","Unknown","SE","Rectangle / Square",NA,"32","28","No",NA,NA,"896","0.7","13.08"
"SITE_297","1","Fixed","840","Estimated","Unknown","Unknown","Unknown","NW","Rectangle / Square",NA,"42","20","No",NA,NA,"840","Unknown","Unknown"
"SITE_297","1","Fixed","576","Estimated","Unknown","Unknown","Unknown","North","Rectangle / Square",NA,"24","24","No",NA,NA,"576","Unknown","Unknown"
"SITE_297","1","Fixed","1040","Estimated","Unknown","Unknown","Unknown","SE","Rectangle / Square",NA,"20","52","No",NA,NA,"1040","Unknown","Unknown"
"SITE_303","1","Fixed","864","Measured or Known","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"36","24","No",NA,NA,"864","0.38","2.28"
"SITE_303","1","Fixed","864","Measured or Known","Vinyl","Double","Unknown","South","Rectangle / Square",NA,"36","24","No",NA,NA,"864","0.38","2.28"
"SITE_304","3","Fixed","1296","Estimated","Unknown","Unknown","Unknown","East","Rectangle / Square",NA,"72","18","No",NA,NA,"1296","Unknown","Unknown"
"SITE_304","1","Open","2304","Estimated","Vinyl","Unknown","Electric","West","Rectangle / Square",NA,"48","48","Unknown",NA,NA,"2304","Unknown","Unknown"
"SITE_307","1","Fixed","924","Measured or Known","Wood - bare","Double","Unknown","East","Rectangle / Square",NA,"42","22","No",NA,NA,"924","0.38","2.44"
"SITE_308","1","Fixed","Unknown","Unknown","Unknown","Unknown","Unknown","West","Rectangle / Square",NA,"Unknown","Unknown","No",NA,NA,"Unknown","Unknown","Unknown"
"SITE_309","1","Fixed","800","Estimated","Wood - bare","Unknown","Unknown","South","Rectangle / Square",NA,"40","20","No",NA,NA,"800","Unknown","Unknown"
"SITE_309","1","Open","800","Measured or Known","Wood - bare","Single","Manual","South","Rectangle / Square",NA,"40","20","No",NA,NA,"800","0.84","4.67"
"SITE_316","1","Fixed","840","Measured or Known","Vinyl","Double","Unknown","NE","Rectangle / Square",NA,"40","21","No",NA,NA,"840","0.38","2.22"
"SITE_316","1","Fixed","1050","Measured or Known","Vinyl","Double","Unknown","NE","Rectangle / Square",NA,"50","21","No",NA,NA,"1050","0.38","2.77"
"SITE_32","4","Fixed","1176","Measured or Known","Aluminum","Double","Unknown","North","Rectangle / Square",NA,"42","28","No",NA,NA,"1176","0.7","22.88"
"SITE_32","1","Open","1080","Unknown","Wood - bare","Double","Manual","South","Rectangle / Square",NA,"54","20","No",NA,NA,"1080","0.38","2.85"
"SITE_32","1","Unknown","880","Unknown","Unknown","Unknown","Unknown","Unknown","Rectangle / Square",NA,"44","20","Unknown",NA,NA,"880","Unknown","Unknown"
"SITE_323","1","Fixed","1305","Measured or Known","Vinyl","Double","Unknown","South","Rectangle / Square",NA,"45","29","No",NA,NA,"1305","0.38","3.44"
"SITE_323","1","Fixed","1080","Measured or Known","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"45","24","No",NA,NA,"1080","0.38","2.85"
"SITE_323","1","Fixed","1410","Measured or Known","Vinyl","Double","Unknown","North","Rectangle / Square",NA,"47","30","No",NA,NA,"1410","0.38","3.72"
"SITE_323","1","Fixed","Unknown","Unknown","Vinyl","Double","Unknown","South","Rectangle / Square",NA,"45","Unknown","No",NA,NA,"Unknown","0.38","Unknown"
"SITE_327","1","Fixed","441","Measured or Known","Unknown","Unknown","Unknown","South","Rectangle / Square",NA,"21","21","No",NA,NA,"441","Unknown","Unknown"
"SITE_327","2","Fixed","961","Measured or Known","Unknown","Unknown","Unknown","South","Rectangle / Square",NA,"31","31","No",NA,NA,"961","Unknown","Unknown"
"SITE_327","2","Fixed","1450","Estimated","Unknown","Unknown","Unknown","East","Rectangle / Square",NA,"50","29","No",NA,NA,"1450","Unknown","Unknown"
