vintage_era,month,total_therms,equipment_count,avg_therms,year
pre-1980,2,5157426.505822948,76424,67.48438325425191,2032
pre-1980,3,4410183.470631438,76424,57.7067867506469,2032
pre-1980,4,3092279.441075159,76424,40.46215117077304,2032
pre-1980,5,1972729.5516799525,76424,25.812958647544654,2032
pre-1980,6,508865.3512522342,76424,6.658449587200804,2032
pre-1980,7,1517.9204486280237,76424,0.019861829381189466,2032
pre-1980,8,57879.99368035987,76424,0.7573536281843383,2032
pre-1980,9,328904.0890531999,76424,4.303675403710875,2032
pre-1980,10,2231383.6791162416,76424,29.19742069397364,2032
pre-1980,11,4533683.652690057,76424,59.322773640349325,2032
pre-1980,12,5698535.249512516,76424,74.56473423940798,2032
1980-1999,1,4494936.056236032,53715,83.6812074138701,2033
1980-1999,2,3299229.858349273,53715,61.421015700442574,2033
1980-1999,3,2821616.881059532,53715,52.52940297979209,2033
1980-1999,4,1977613.083838569,53715,36.816775273919184,2033
1980-1999,5,1261514.3558581118,53715,23.48532729885715,2033
1980-1999,6,325436.94223288924,53715,6.0585859114379454,2033
1980-1999,7,970.2356628009171,53715,0.018062657782759325,2033
1980-1999,8,36995.977442414616,53715,0.688745740340959,2033
1980-1999,9,210350.6402699673,53715,3.9160502703149453,2033
1980-1999,10,1426929.3528510686,53715,26.56482086663071,2033
1980-1999,11,2899319.368377704,53715,53.975972603140725,2033
1980-1999,12,3644399.4976328737,53715,67.84696076762307,2033
2000-2009,1,5470818.715675859,73137,74.80233965948642,2033
2000-2009,2,4012716.3324106745,73137,54.86574965353616,2033
2000-2009,3,3432703.8469202747,73137,46.935256394441595,2033
2000-2009,4,2406589.455435413,73137,32.905225199767735,2033
2000-2009,5,1535405.8003204344,73137,20.99355730096168,2033
2000-2009,6,396039.52862329263,73137,5.415036556370819,2033
2000-2009,7,1181.0798228939614,73137,0.01614886887476874,2033
2000-2009,8,45026.4815525993,73137,0.6156457272324446,2033
2000-2009,9,255980.74835919595,73137,3.500017068777718,2033
2000-2009,10,1736922.13502046,73137,23.748884080840888,2033
2000-2009,11,3527028.8511159644,73137,48.22495933817308,2033
2000-2009,12,4436735.999527106,73137,60.6633578014836,2033
2010-2014,1,1509205.1621242703,22504,67.06386251885311,2033
2010-2014,2,1107682.012522074,22504,49.22156116788455,2033
2010-2014,3,947012.8031159971,22504,42.08197667596859,2033
2010-2014,4,663823.3474244701,22504,29.498015793835325,2033
2010-2014,5,423519.7117436729,22504,18.819752565929296,2033
2010-2014,6,109302.6557517333,22504,4.857032338772365,2033
2010-2014,7,325.793544218249,22504,0.014477139362702141,2033
2010-2014,8,12423.660253375381,22504,0.5520645331219064,2033
2010-2014,9,70590.59515084837,22504,3.136802130770013,2033
2010-2014,10,479391.864169427,22504,21.302517959892775,2033
2010-2014,11,973399.0469224869,22504,43.25449017607922,2033
2010-2014,12,1224110.7739586986,22504,54.39525301984974,2033
2015+,1,1116820.3572701097,20822,53.63655543512197,2033
2015+,2,819315.1121957685,20822,39.34853098625341,2033
2015+,3,700648.0903368393,20822,33.64941361717603,2033
2015+,4,491303.7169981311,20822,23.595414321301078,2033
2015+,5,313436.2731977245,20822,15.0531300162196,2033
2015+,6,80847.66830537326,20822,3.8828003220331024,2033
2015+,7,241.05414185753594,20822,0.011576896640934394,2033
2015+,8,9191.00853914455,20822,0.44140853612258907,2033
2015+,9,52257.50128204014,20822,2.509725352129485,2033
2015+,10,354609.17944026884,20822,17.030505207966037,2033
2015+,11,720061.9880583917,20822,34.58178791943097,2033
2015+,12,905468.4432726706,20822,43.486141738193766,2033
pre-1980,1,6964248.419002348,76424,91.12645790592416,2033
pre-1980,2,5108989.618339401,76424,66.85059167721397,2033
pre-1980,3,4369246.406199911,76424,57.171129569244094,2033
pre-1980,4,3063065.4680116223,76424,40.07988940662125,2033
pre-1980,5,1953388.0918813942,76424,25.55987768085149,2033
pre-1980,6,504092.293690689,76424,6.595994631145832,2033
pre-1980,7,1503.5654572288602,76424,0.01967399582891317,2033
pre-1980,8,57296.75441001129,76424,0.749722003690088,2033
pre-1980,9,325770.2674538258,76424,4.262669677769101,2033
pre-1980,10,2210597.1964641553,76424,28.92543175526216,2033
pre-1980,11,4489071.467845975,76424,58.73902789498031,2033
pre-1980,12,5643736.143469208,76424,73.84769370183723,2033
1980-1999,1,4458276.109194749,53715,82.99871747546773,2034
1980-1999,2,3269590.6421344425,53715,60.869229119136975,2034
1980-1999,3,2797596.920491437,53715,52.0822288092979,2034
1980-1999,4,1961139.1580088525,53715,36.510083924580705,2034
1980-1999,5,1251074.3856459993,53715,23.290968735846587,2034
1980-1999,6,322673.2728903722,53715,6.007135304670431,2034
1980-1999,7,962.5498268679663,53715,0.01791957231439945,2034
1980-1999,8,36689.81269896924,53715,0.6830459405933024,2034
1980-1999,9,208576.01132166406,53715,3.88301240475964,2034
1980-1999,10,1415499.006389695,53715,26.35202469309681,2034
1980-1999,11,2874243.279484352,53715,53.509136730603224,2034
1980-1999,12,3613604.3226630487,53715,67.27365396375404,2034
2000-2009,1,5433045.794025738,73137,74.28587163851044,2034
2000-2009,2,3986329.4633540204,73137,54.504962787016424,2034
2000-2009,3,3408813.054575812,73137,46.6085983096902,2034
2000-2009,4,2390128.7412368734,73137,32.680158349903245,2034
2000-2009,5,1524666.68428783,73137,20.84672169063306,2034
2000-2009,6,393342.19878196594,73137,5.378156046624362,2034
2000-2009,7,1172.8895524783754,73137,0.016036883553856126,2034
2000-2009,8,44711.518950735124,73137,0.6113392530557054,2034
2000-2009,9,254199.50554725088,73137,3.4756621894150825,2034
2000-2009,10,1725111.4097068505,73137,23.587396389062317,2034
2000-2009,11,3503689.4302708446,73137,47.90584013933911,2034
2000-2009,12,4405655.051690787,73137,60.238388937074085,2034
2010-2014,1,1496404.6672316515,22504,66.49505275647225,2034
2010-2014,2,1098061.9123640526,22504,48.79407715801869,2034
2010-2014,3,939079.826627271,22504,41.729462612303195,2034
2010-2014,4,658565.9409389673,22504,29.264394815986815,2034
2010-2014,5,420109.20379447925,22504,18.66820137728756,2034
2010-2014,6,108293.66260862674,22504,4.8121961699531965,2034
2010-2014,7,323.00334973992994,22504,0.01435315276128377,2034
2010-2014,8,12319.097196602204,22504,0.5474181121845985,2034
2010-2014,9,70019.13022765073,22504,3.1114082042148388,2034
2010-2014,10,475196.8424369942,22504,21.116105689521603,2034
2010-2014,11,964777.7168542347,22504,42.87138805786681,2034
2010-2014,12,1213379.9008088128,22504,53.91841009637455,2034
2015+,1,1111069.8018181701,20822,53.36037853319422,2034
2015+,2,815186.5673996301,20822,39.15025297279945,2034
2015+,3,697109.0069428126,20822,33.47944515141737,2034
2015+,4,488820.4337144394,20822,23.476151844896716,2034
